datetime,open,high,low,close,Volume,VWAP
2021-11-24,1532.1,1564.0,1529.7,1564.0,8887,1545.2426128052211
2021-11-25,1564.4,1574.3,1561.5,1565.0,9092,1567.8708864936207
2021-11-26,1566.5,1576.8,1553.6,1559.2,7715,1567.1627090084253
2021-11-29,1551.1,1551.9,1537.6,1549.0,8900,1545.251
2021-11-30,1555.1,1563.5,1533.3,1535.5,9365,1552.5817298451682
2021-12-01,1535.6,1548.0,1531.5,1548.0,9185,1539.7541643984757
2021-12-02,1549.8,1554.4,1539.6,1541.8,8141,1548.6125291733201
2021-12-03,1545.3,1547.9,1515.0,1516.1,7770,1541.7143114543114
2021-12-06,1508.9,1513.5,1467.4,1478.8,10533,1503.2446976170133
2021-12-07,1490.2,1510.5,1488.0,1508.1,9447,1497.4371123107865
2021-12-08,1515.4,1518.2,1508.8,1511.6,8920,1513.31682735426
2021-12-09,1513.0,1532.4,1510.1,1532.1,7804,1517.439492567914
2021-12-10,1530.7,1532.1,1513.1,1520.5,8721,1525.0218094255245
2021-12-13,1526.6,1527.2,1516.5,1520.1,8076,1523.2523031203566
2021-12-14,1524.0,1529.8,1513.6,1518.4,8190,1522.3489865689864
2021-12-15,1518.7,1526.4,1514.6,1523.5,7777,1520.1422527967084
2021-12-16,1525.6,1527.0,1489.9,1489.9,7930,1517.3863051702397
2021-12-17,1513.9,1524.1,1512.8,1522.5,7817,1516.76510170142
2021-12-20,1512.4,1517.5,1496.7,1505.0,8166,1509.5175116336027
2021-12-21,1511.4,1519.5,1509.0,1514.4,7514,1513.5963401650254
2021-12-22,1510.9,1512.4,1500.0,1505.7,4328,1506.8054297597043
2021-12-23,1506.9,1507.8,1476.0,1485.4,11042,1491.2990762543018
2021-12-24,1488.2,1511.5,1484.6,1508.4,9307,1494.0373804663157
2021-12-27,1513.0,1518.6,1501.8,1517.3,8500,1510.1336823529414
2021-12-28,1518.5,1524.3,1510.0,1520.5,8906,1518.03401077925
2021-12-29,1523.0,1526.0,1517.5,1520.4,7232,1522.2586283185842
2021-12-30,1518.7,1533.5,1518.2,1527.3,7495,1525.110353569046
2021-12-31,1527.6,1541.8,1527.3,1537.8,8229,1537.0217158828532
2022-01-04,1544.1,1562.9,1543.1,1558.8,7735,1554.4406205559146
2022-01-05,1558.4,1560.5,1548.3,1550.5,6411,1554.6732335049135
2022-01-06,1544.5,1556.9,1543.7,1547.4,7271,1549.4597854490441
2022-01-07,1547.6,1548.0,1533.5,1537.6,7314,1539.0840442986052
2022-01-10,1540.1,1540.3,1515.9,1516.1,8206,1531.5919692907628
2022-01-11,1514.2,1518.5,1499.7,1502.0,8767,1513.3779171894605
2022-01-12,1500.7,1525.5,1486.3,1525.2,10711,1501.5194286247781
2022-01-13,1530.5,1541.8,1522.6,1527.6,9474,1532.3591513616213
2022-01-14,1519.0,1532.1,1515.1,1523.0,9919,1524.0512047585441
2022-01-17,1522.5,1525.4,1479.1,1485.1,10286,1510.8463251020805
2022-01-18,1475.5,1489.4,1468.0,1482.0,9694,1482.1457808953992
2022-01-19,1482.5,1496.0,1477.1,1481.5,9649,1487.3947144781841
