datetime,tickersymbol,price,volume
2024-12-30 10:06:09.325638,VN30F2501,1345.0,1
2024-12-30 10:06:45.182771,VN30F2501,1345.0,6
2024-12-30 10:07:16.977262,VN30F2501,1345.1,2
2024-12-30 10:07:19.041547,VN30F2501,1345.0,1
2024-12-30 10:07:35.318328,VN30F2501,1345.2,3
2024-12-30 10:07:47.548550,VN30F2501,1345.3,4
2024-12-30 10:07:49.784327,VN30F2501,1345.4,1
2024-12-30 10:07:51.819637,VN30F2501,1345.5,2
2024-12-30 10:07:56.926993,VN30F2501,1345.4,1
2024-12-30 10:08:03.025739,VN30F2501,1345.3,5
2024-12-30 10:08:07.129971,VN30F2501,1345.4,3
2024-12-30 10:08:11.167937,VN30F2501,1345.3,2
2024-12-30 10:08:21.562357,VN30F2501,1345.4,3
2024-12-30 10:08:25.462373,VN30F2501,1345.5,3
2024-12-30 10:08:27.696556,VN30F2501,1345.4,5
2024-12-30 10:09:01.325529,VN30F2501,1345.4,1
2024-12-30 10:09:03.582407,VN30F2501,1345.5,2
2024-12-30 10:09:13.793471,VN30F2501,1345.6,1
2024-12-30 10:09:21.950193,VN30F2501,1345.7,3
2024-12-30 10:09:51.717158,VN30F2501,1345.7,1
2024-12-30 10:10:13.371814,VN30F2501,1345.8,1
2024-12-30 10:10:28.036749,VN30F2501,1345.7,1
2024-12-30 10:10:32.916171,VN30F2501,1345.8,5
2024-12-30 10:10:35.013276,VN30F2501,1345.9,1
2024-12-30 10:10:41.055089,VN30F2501,1345.8,2
2024-12-30 10:10:43.135925,VN30F2501,1345.9,1
2024-12-30 10:11:03.701433,VN30F2501,1345.7,9
2024-12-30 10:11:11.021632,VN30F2501,1345.8,1
2024-12-30 10:11:13.082953,VN30F2501,1345.7,5
2024-12-30 10:11:19.160545,VN30F2501,1345.8,6
2024-12-30 10:11:21.182325,VN30F2501,1345.7,2
2024-12-30 10:11:27.521863,VN30F2501,1345.6,1
2024-12-30 10:11:33.651562,VN30F2501,1345.7,1
2024-12-30 10:11:37.746079,VN30F2501,1345.6,20
2024-12-30 10:11:39.751970,VN30F2501,1345.5,1
2024-12-30 10:12:07.464754,VN30F2501,1345.5,5
2024-12-30 10:12:11.567834,VN30F2501,1345.4,2
2024-12-30 10:12:25.839175,VN30F2501,1345.6,2
2024-12-30 10:12:35.232447,VN30F2501,1345.6,2
2024-12-30 10:12:39.330865,VN30F2501,1345.4,1
2024-12-30 10:12:45.445397,VN30F2501,1345.0,5
2024-12-30 10:12:47.658443,VN30F2501,1345.4,1
2024-12-30 10:12:53.595823,VN30F2501,1345.0,1
2024-12-30 10:13:01.933319,VN30F2501,1345.1,2
2024-12-30 10:13:08.906478,VN30F2501,1345.0,5
2024-12-30 10:13:23.373150,VN30F2501,1345.3,1
2024-12-30 10:13:29.299462,VN30F2501,1345.1,10
2024-12-30 10:13:33.392991,VN30F2501,1345.3,3
2024-12-30 10:14:07.441262,VN30F2501,1345.4,1
2024-12-30 10:14:37.049106,VN30F2501,1345.4,1
2024-12-30 10:14:39.115420,VN30F2501,1345.3,3
2024-12-30 10:15:03.755716,VN30F2501,1345.2,4
2024-12-30 10:15:07.833282,VN30F2501,1345.3,1
2024-12-30 10:15:14.979676,VN30F2501,1345.2,1
2024-12-30 10:15:17.019559,VN30F2501,1345.0,5
2024-12-30 10:15:31.502408,VN30F2501,1345.1,3
2024-12-30 10:15:41.700927,VN30F2501,1345.2,2
2024-12-30 10:15:43.754735,VN30F2501,1345.3,1
2024-12-30 10:15:52.938796,VN30F2501,1345.5,4
2024-12-30 10:16:01.306716,VN30F2501,1345.6,1
2024-12-30 10:16:25.774917,VN30F2501,1345.3,10
2024-12-30 10:16:26.797424,VN30F2501,1345.4,1
2024-12-30 10:16:39.220693,VN30F2501,1345.2,10
2024-12-30 10:16:43.310919,VN30F2501,1345.1,2
2024-12-30 10:17:05.699488,VN30F2501,1345.2,5
2024-12-30 10:18:03.414343,VN30F2501,1345.3,10
2024-12-30 10:18:19.719365,VN30F2501,1345.2,10
2024-12-30 10:19:49.042380,VN30F2501,1345.4,1
2024-12-30 10:19:51.088739,VN30F2501,1345.3,5
2024-12-30 10:19:53.139142,VN30F2501,1345.4,1
2024-12-30 10:20:17.824040,VN30F2501,1345.4,1
2024-12-30 10:20:34.978334,VN30F2501,1345.5,2
2024-12-30 10:20:37.005975,VN30F2501,1345.4,1
2024-12-30 10:20:47.424742,VN30F2501,1345.4,8
2024-12-30 10:20:49.468597,VN30F2501,1345.5,2
2024-12-30 10:21:01.923389,VN30F2501,1345.4,1
2024-12-30 10:21:47.004090,VN30F2501,1345.5,1
2024-12-30 10:21:56.995587,VN30F2501,1345.4,6
2024-12-30 10:22:23.896397,VN30F2501,1345.4,2
2024-12-30 10:22:31.050906,VN30F2501,1345.3,5
2024-12-30 10:22:37.126737,VN30F2501,1345.4,1
2024-12-30 10:22:39.166911,VN30F2501,1345.3,20
2024-12-30 10:22:41.402276,VN30F2501,1345.4,9
2024-12-30 10:22:47.320172,VN30F2501,1345.3,1
2024-12-30 10:23:15.240502,VN30F2501,1345.1,4
2024-12-30 10:23:19.100213,VN30F2501,1345.2,21
2024-12-30 10:23:21.346527,VN30F2501,1345.1,8
2024-12-30 10:23:31.516840,VN30F2501,1345.0,1
2024-12-30 10:23:35.614736,VN30F2501,1345.1,5
2024-12-30 10:23:48.876782,VN30F2501,1345.0,1
2024-12-30 10:23:57.224980,VN30F2501,1344.9,20
2024-12-30 10:24:03.376247,VN30F2501,1344.9,2
2024-12-30 10:24:15.806243,VN30F2501,1344.8,2
2024-12-30 10:24:17.854025,VN30F2501,1344.9,1
2024-12-30 10:24:19.868899,VN30F2501,1344.8,2
2024-12-30 10:24:23.983389,VN30F2501,1344.9,1
2024-12-30 10:24:29.068972,VN30F2501,1344.8,23
2024-12-30 10:24:39.463347,VN30F2501,1344.9,1
2024-12-30 10:24:41.484307,VN30F2501,1344.8,5
2024-12-30 10:24:47.641904,VN30F2501,1344.7,39
2024-12-30 10:24:49.651582,VN30F2501,1344.8,2
2024-12-30 10:24:55.811251,VN30F2501,1344.8,2
2024-12-30 10:24:58.866501,VN30F2501,1344.7,1
2024-12-30 10:25:07.023401,VN30F2501,1344.7,4
2024-12-30 10:25:09.064622,VN30F2501,1344.8,10
2024-12-30 10:25:11.288734,VN30F2501,1345.0,2
2024-12-30 10:25:13.146945,VN30F2501,1344.8,1
2024-12-30 10:25:23.563170,VN30F2501,1344.9,6
2024-12-30 10:25:25.619709,VN30F2501,1345.0,1
2024-12-30 10:25:31.700371,VN30F2501,1344.9,3
2024-12-30 10:25:36.818019,VN30F2501,1345.0,1
2024-12-30 10:25:43.148829,VN30F2501,1345.1,2
2024-12-30 10:26:09.681063,VN30F2501,1345.3,1
2024-12-30 10:26:19.084077,VN30F2501,1345.3,6
2024-12-30 10:26:23.159092,VN30F2501,1345.2,15
2024-12-30 10:26:25.197521,VN30F2501,1345.3,10
2024-12-30 10:26:27.223634,VN30F2501,1345.1,1
2024-12-30 10:27:01.083268,VN30F2501,1345.0,3
2024-12-30 10:27:11.481696,VN30F2501,1345.0,1
2024-12-30 10:27:23.994997,VN30F2501,1345.2,3
2024-12-30 10:27:33.116409,VN30F2501,1345.1,1
2024-12-30 10:27:41.264833,VN30F2501,1345.1,5
2024-12-30 10:27:45.334232,VN30F2501,1345.2,5
2024-12-30 10:27:59.820086,VN30F2501,1345.1,1
2024-12-30 10:28:04.944126,VN30F2501,1345.1,2
2024-12-30 10:28:19.352346,VN30F2501,1345.0,50
2024-12-30 10:28:33.650403,VN30F2501,1344.9,1
2024-12-30 10:28:41.957151,VN30F2501,1345.0,5
2024-12-30 10:28:45.044368,VN30F2501,1344.9,2
